max_prime,num_threads,num_events
1000,1,1353
1000,2,2620
1000,4,5178
1000,6,6533
1000,8,7931
1000,10,8122
1000,12,8085
1000,14,7996
1000,16,7980
1000,18,7991
1000,20,7988
1000,22,7876
1000,24,7918
1000,32,7853
1000,48,7865
5000,1,1312
5000,2,2605
5000,4,4970
5000,6,6610
5000,8,7718
5000,10,7761
5000,12,7777
5000,14,7751
5000,16,7634
5000,18,7698
5000,20,7685
5000,22,7725
5000,24,7636
5000,32,7641
5000,48,7118
10000,1,1351
10000,2,2583
10000,4,4982
10000,6,6441
10000,8,7596
10000,10,7580
10000,12,7613
10000,14,7594
10000,16,7566
10000,18,7555
10000,20,7601
10000,22,7587
10000,24,7303
10000,32,7389
10000,48,7482
20000,1,1331
20000,2,2523
20000,4,4925
20000,6,6055
20000,8,7496
20000,10,7072
20000,12,6876
20000,14,7087
20000,16,6974
20000,18,6931
20000,20,6068
20000,22,6575
20000,24,7019
20000,32,6665
20000,48,7118
30000,1,1318
30000,2,2615
30000,4,4762
30000,6,6256
30000,8,7426
30000,10,7431
30000,12,7002
30000,14,6819
30000,16,6842
30000,18,7012
30000,20,6708
30000,22,7073
30000,24,7392
30000,32,7312
30000,48,7032
50000,1,1252
50000,2,2530
50000,4,4771
50000,6,6107
50000,8,7226
50000,10,7395
50000,12,7379
50000,14,7341
50000,16,7347
50000,18,7029
50000,20,6980
50000,22,6975
50000,24,6378
50000,32,6836
50000,48,7016
100000,1,1285
100000,2,2460
100000,4,4566
100000,6,5685
100000,8,6900
100000,10,6782
100000,12,6894
100000,14,7309
100000,16,7217
100000,18,7201
100000,20,7320
100000,22,7284
100000,24,7259
100000,32,6847
100000,48,6803
